Postcode,Supply_reservoir,OS_grid_region,OS_grouping,Total_Pb,Pb206_207,Pb208_207
DD83NJ,Whitehillocks,NO,North/Above Central,1.442,1.152,2.421
DD97SZ,Whitehillocks,NO,North/Above Central,58,1.169,2.536
DD97TF,Whitehillocks,NO,North/Above Central,1.307,1.159,2.445
PA286JP,Campbeltown,NR,Central/South,0.145,1.159,2.406
EH477DP,Balmore,NS,Central/South,2.168,1.075,2.355
EH482LY,Balmore,NS,Central/South,0.681,1.146,2.293
EH483RG,Balmore,NS,Central/South,0.172,1.164,2.422
EH496ED,Balmore,NS,Central/South,0.384,1.16,2.458
EH496LR,Balmore,NS,Central/South,0.217,1.056,2.326
EH496RH,Balmore,NS,Central/South,1.209,1.176,2.447
G209LF,Balmore,NS,Central/South,0.149,1.093,2.37
G326PA,Balmore,NS,Central/South,0.885,1.142,2.441
G642JS,Balmore,NS,Central/South,0.261,1.104,2.364
G643BS,Balmore,NS,Central/South,0.201,1.092,2.373
G664DH,Balmore,NS,Central/South,0.164,1.128,2.394
G665NN,Balmore,NS,Central/South,0.279,1.127,2.377
G668JA,Balmore,NS,Central/South,0.685,1.126,2.368
G668JX,Balmore,NS,Central/South,0.342,1.123,2.383
G697BE,Balmore,NS,Central/South,0.477,1.106,2.368
G697NA,Balmore,NS,Central/South,0.257,1.177,2.46
G662RT,Balmore Carron Valley,NS,Central/South,0.155,1.076,2.323
G663PG,Balmore Carron Valley,NS,Central/South,0.319,1.126,2.406
G444TH,Balmore Castlemilk,NS,Central/South,0.778,1.153,2.423
G333GD,Balmore,NS,Central/South,0.247,1.084,2.35
G333QB,Balmore,NS,Central/South,0.255,1.09,2.325
G847AP,Blairlinnans,NS,Central/South,1.825,1.106,2.367
G628LQ,Burncrooks,NS,Central/South,0.169,1.129,2.376
FK13DS,Carron Valley,NS,Central/South,1.868,1.127,2.403
FK29PR,Carron Valley,NS,Central/South,0.752,1.133,2.404
FK53NQ,Carron Valley,NS,Central/South,0.209,1.077,2.324
G744JZ,Daer,NS,Central/South,9.162,1.163,2.455
G759FJ,Daer,NS,Central/South,0.25,1.123,2.381
KA290EJ,Greenock,NS,Central/South,25.28,1.136,2.278
G115BL,Milngavie,NS,Central/South,0.255,1.093,2.344
G117ES,Milngavie,NS,Central/South,1.865,1.134,2.409
G117HD,Milngavie,NS,Central/South,0.7625,1.1165,2.389
G117QQ,Milngavie,NS,Central/South,0.182,1.08,2.336
G120NN,Milngavie,NS,Central/South,0.299,1.12,2.374
G156JZ,Milngavie,NS,Central/South,2.444,1.168,2.441
G157JB,Milngavie,NS,Central/South,0.229,1.097,2.36
G200NH,Milngavie,NS,Central/South,0.527,1.134,2.393
G327AY,Milngavie,NS,Central/South,0.355,1.113,2.374
G404SW,Milngavie,NS,Central/South,0.21,1.102,2.35
G413EY,Milngavie,NS,Central/South,0.206,1.087,2.347
G413SP,Milngavie,NS,Central/South,0.167,1.098,2.373
G414HD,Milngavie,NS,Central/South,0.163,1.062,2.31
G415BZ,Milngavie,NS,Central/South,1.292,1.155,2.423
G420BH,Milngavie,NS,Central/South,0.75,1.106,2.36
G432AR,Milngavie,NS,Central/South,0.173,1.088,2.336
G444BS,Milngavie,NS,Central/South,0.161,1.079,2.329
G444TT,Milngavie,NS,Central/South,1.494,1.159,2.423
G511AP,Milngavie,NS,Central/South,0.495,1.13,2.394
G513EF,Milngavie,NS,Central/South,0.203,1.149,2.422
G521HA,Milngavie,NS,Central/South,1.183,1.114,2.378
G611BZ,Milngavie,NS,Central/South,1.783,1.137,2.423
EH470PZ,Pateshill,NS,Central/South,0.408,1.079,2.348
FK30JN,Turret/Balmore/Carron Valley,NS,Central/South,0.417,1.117,2.391
EH459NB,Bonnycraig,NT,Central/South,0.298,1.103,2.375
EH459ND,Bonnycraig,NT,Central/South,0.281,1.102,2.367
EH320RU,Castle Moffat,NT,Central/South,0.636,1.107,2.385
EH332DB,Castle Moffat,NT,Central/South,0.822,1.154,2.277
EH414AE,Castle Moffat,NT,Central/South,0.528,1.104,2.364
EH421GN,Castle Moffat,NT,Central/South,0.182,1.091,2.36
EH104JS,Glencorse,NT,Central/South,1.291,1.165,2.455
EH105BN,Glencorse,NT,Central/South,0.428,1.131,2.412
EH105EZ,Glencorse,NT,Central/South,1.049,1.168,2.463
EH105HA,Glencorse,NT,Central/South,0.184,1.076,2.348
EH105QT,Glencorse,NT,Central/South,1.438,1.133,2.376
EH105RA,Glencorse,NT,Central/South,2.086,1.174,2.083
EH11 1QR,Glencorse,NT,Central/South,0.372,1.121,2.404
EH112QP,Glencorse,NT,Central/South,0.285,1.155,2.444
EH113UJ,Glencorse,NT,Central/South,0.303,1.144,2.418
EH125QF,Glencorse,NT,Central/South,0.511,1.134,2.408
EH125TN,Glencorse,NT,Central/South,0.572,1.144,2.422
EH126AQ,Glencorse,NT,Central/South,0.5,1.165,2.458
EH128BZ,Glencorse,NT,Central/South,0.5,1.125,2.403
EH166PE,Glencorse,NT,Central/South,0.348,1.094,2.373
EH209JE,Glencorse,NT,Central/South,0.3,1.168,2.441
EH209JH,Glencorse,NT,Central/South,0.254,1.079,2.342
EH3 9JB,Glencorse,NT,Central/South,0.677,1.135,2.404
EH42AN,Glencorse,NT,Central/South,2.182,1.125,2.406
EH42HA,Glencorse,NT,Central/South,0.169,1.125,2.304
EH43JZ,Glencorse,NT,Central/South,2.701,1.084,2.351
EH43PX,Glencorse,NT,Central/South,3.514,1.101,2.378
EH47DJ,Glencorse,NT,Central/South,0.383,1.125,2.417
EH53NJ,Glencorse,NT,Central/South,0.227,1.072,2.343
EH67PL,Glencorse,NT,Central/South,0.839,1.166,2.464
EH76JG,Glencorse,NT,Central/South,0.336,1.098,2.353
EH36LL,Glencorse?,NT,Central/South,0.567,1.129,2.404
EH345EJ,Hopes,NT,Central/South,0.73,1.08,2.362
EH139EW,Marchbank,NT,Central/South,0.178,1.074,2.34
EH145AE,Marchbank,NT,Central/South,0.331,1.105,2.372
EH145DZ,Marchbank,NT,Central/South,0.172,1.146,2.409
EH147EZ,Marchbank,NT,Central/South,0.259,1.061,2.317
EH51NA,Marchbank,NT,Central/South,0.345,1.109,2.396
EH546JT,Marchbank,NT,Central/South,1.09,1.153,2.438
EH64QF,Marchbank,NT,Central/South,0.426,1.132,2.403
DG109JJ,Moffat,NT,Central/South,0.261,1.168,2.443
DG109JX,Moffat,NT,Central/South,0.97,1.123,2.41
TD113BA,Rawburn,NT,Central/South,0.197,1.083,2.315
TD145EY,Rawburn,NT,Central/South,1.287,1.153,2.423
EH218DQ,Roseberry,NT,Central/South,1.931,1.139,2.408
EH269HT,Roseberry,NT,Central/South,0.147,1.135,2.388
EH106EY,Rosebery,NT,Central/South,1.566,1.147,2.436
EH218DY,Rosebery,NT,Central/South,0.529,1.097,2.381
EH329AT,Rosebery Castle Moffat,NT,Central/South,0.274,1.106,1.365
EH329DJ,Rosebery Castle Moffat,NT,Central/South,3.179,1.099,2.38
EH355LJ,Rosebery Hopes,NT,Central/South,0.481,1.124,2.396
DG90BG,Auchneel,NX,Central/South,0.139,1.114,2.393
DG97DR,Auchneel,NX,Central/South,0.456,1.152,2.431
DG97PA,Auchneel,NX,Central/South,0.163,1.063,2.341
DG97QJ,Auchneel,NX,Central/South,2.153,1.119,2.4
DG97RZ,Auchneel,NX,Central/South,0.982,1.165,2.45
DG98BD,Auchneel,NX,Central/South,0.282,1.104,2.381
DG98DX,Auchneel,NX,Central/South,0.178,1.115,2.373
KA80PX,Bradan,NX,Central/South,1.603,1.139,2.416
KA137LH,Bradan Milngavie Gorbals Zone,NX,Central/South,0.13,1.122,2.378
DG71TA,Glengap,NX,Central/South,0.134,1.101,2.375
DG72JB,Glengap,NX,Central/South,2.567,1.166,2.457
DG11SW,Kettleton,NX,Central/South,0.181,1.126,2.939
DG11TE,Kettleton,NX,Central/South,0.155,1.105,2.333
DG14LP,Kettleton,NX,Central/South,0.851,1.14,2.411
DG14RA,Kettleton,NX,Central/South,0.239,1.134,2.411
DG20RU,Kettleton,NX,Central/South,0.569,1.143,2.423
DG34HT,Kettleton,NX,Central/South,0.268,1.13,2.395
DG35HJ,Kettleton,NX,Central/South,0.522,1.151,2.426
DG35HZ,Kettleton,NX,Central/South,0.226,1.129,2.411
DG54QW,Killylour,NX,Central/South,0.428,1.139,2.408
DG13HQ,Larchfield,NX,Central/South,0.426,1.138,2.429
DG14EA,Larchfield,NX,Central/South,0.833,1.144,2.424
DG14EE,Larchfield,NX,Central/South,0.394,1.127,2.399
DG14PA,Larchfield,NX,Central/South,0.274,1.136,2.404
DG71DQ,Lochinvar,NX,Central/South,0.54,1.141,2.426
KA269EY,Penwhapple,NX,Central/South,0.209,1.079,2.344
KA269HG,Penwhapple,NX,Central/South,0.408,1.157,2.42
DG86BP,Penwhirn,NX,Central/South,0.703,1.135,2.406
DG86EF,Penwhirn,NX,Central/South,1.012,1.122,2.402
DG86ES,Penwhirn,NX,Central/South,0.438,1.115,2.385
DG87AL,Penwhirn,NX,Central/South,0.234,1.13,2.405
DG87DA,Penwhirn,NX,Central/South,5.162,1.15,2.434
DG88LG,Penwhirn,NX,Central/South,0.141,1.126,2.399
DG89JG,Penwhirn,NX,Central/South,0.159,1.115,2.375
DG99QN,Penwhirn,NX,Central/South,0.591,1.148,2.427
DG64DR,Ringford & Glengap,NX,Central/South,0.399,1.142,2.414
DG64EH,Ringford & Glengap,NX,Central/South,0.346,1.147,2.419
DG64EW,Ringford & Glengap,NX,Central/South,0.82,1.149,2.423
DG64LE,Ringford & Glengap,NX,Central/South,0.864,1.153,2.423
DG11BT,Terregles,NX,Central/South,0.838,1.173,2.45
DG13BP,Terregles,NX,Central/South,4.343,1.143,2.434
DG13EJ,Terregles,NX,Central/South,0.329,1.142,2.424
DG111NF,Black Esk,NY,Central/South,0.201,1.155,2.437
DG126HB,Black Esk,NY,Central/South,0.411,1.158,2.43
DG13SQ,Black Esk,NY,Central/South,0.178,1.144,2.416
DG165HY,Black Esk,NY,Central/South,0.274,1.155,2.434
DG165UP,Black Esk Winterhope,NY,Central/South,0.365,1.149,2.386
